alpha phi1 phi2 phi3 theta1 theta2 theta3
-1.15772052818945 0.045378400257857 0.348227099738442 0.247115694196466 -0.108429309581543 -0.047635376477434 -0.00217804832146383
-1.31427672910587 0.0148195573237939 0.355339386892765 0.226796283285655 -0.0585242317261648 -0.0682407231207484 0.00707130890875471
-1.24208750882972 0.0225198044162699 0.326611706981836 0.267081232305386 -0.0808478431987476 -0.014418444581721 -0.0330835707031257
-1.2023782390593 0.0480140698118824 0.366462693918829 0.217110808141711 -0.109574817399934 -0.102789473376758 0.0124946809642544
-1.28230320923126 0.0108354773546481 0.336374034439412 0.257287658129436 -0.0920607094753285 -0.040922795080516 -0.0101428145787976
-1.16431134888338 0.0105151971592401 0.352153678191908 0.279881020463077 -0.0947978958529065 -0.0635346725748926 -0.0422759538784789
-1.28381188451709 0.0368615155869394 0.341206048042204 0.227541165358576 -0.0950448761832378 -0.0546878404201281 0.0176785215908078
-1.22178682820075 0.0142971863991993 0.387841120396237 0.221861614525849 -0.091863799792554 -0.105268947549809 0.0184298487842293
-1.41429719208692 0.0541949502013857 0.285714378690565 0.224939505219694 -0.121587763702094 0.0209442711254757 0.0207343565910401
-1.17786973289454 0.0403092928904059 0.38661404254615 0.210615918402096 -0.115587982026742 -0.107537318168986 0.0366766345805602
-1.19588282621214 0.00289184879789898 0.356063165760363 0.272736082884109 -0.0758586997206194 -0.0645593376864889 -0.0241415539277732
-1.14454940481917 0.00262951986120065 0.372569742783198 0.271330138560272 -0.0825883010692284 -0.0812921460956398 -0.0221298459946511
-1.36992458872926 0.0683690055675364 0.309777757023926 0.199354054942639 -0.114659182085196 -0.0178857019522355 0.0463097983672655
-1.19786369507932 0.0334862767838267 0.374886336628058 0.220680436231756 -0.0936209392026197 -0.0763828692878501 0.00628306172374765
-1.12147516054494 0.0339503783126082 0.348682255311581 0.270056349252541 -0.105929236059968 -0.0668246301318126 -0.0155438767152915
-1.16115068668129 0.00919101806370161 0.387820457070153 0.244649676281394 -0.101759626869557 -0.0959639479547765 0.00311114413286231
-1.23126468682723 -0.00710019732740249 0.405238574296115 0.222253264456678 -0.0808750950643785 -0.112522995762258 0.00147052667985322
